Time,Symbol,Strategy,Direction,Entry,Exit,Volume,Result,PnL,Regime
2025-05-09 12:23:46,XAUUSD.,Consensus[3],buy,3306.48,3316.48,0.1,win,1.0,unknown
2025-05-09 12:23:47,XAUUSD.,Consensus[3],buy,3307.04,3317.04,0.1,win,1.0,unknown
2025-05-09 12:23:47,XAUUSD.,Consensus[3],buy,3310.03,3320.03,0.1,win,1.0,unknown
2025-05-09 12:23:47,XAUUSD.,Consensus[3],buy,3313.6,3323.6,0.1,win,1.0,unknown
2025-05-09 12:23:47,XAUUSD.,Consensus[3],buy,3315.77,3325.77,0.1,win,1.0,unknown
2025-05-09 12:23:47,XAUUSD.,Consensus[3],buy,3318.61,3328.61,0.1,win,1.0,unknown
2025-05-09 12:23:47,XAUUSD.,Consensus[3],buy,3316.81,3326.81,0.1,win,1.0,unknown
2025-05-09 12:23:47,XAUUSD.,Consensus[3],sell,3322.28,3312.28,0.1,win,1.0,unknown
2025-05-09 12:23:47,XAUUSD.,Consensus[4],sell,3302.49,3292.49,0.1,win,1.0,unknown
2025-05-09 12:23:47,XAUUSD.,Consensus[4],sell,3292.78,3282.78,0.1,win,1.0,unknown
2025-05-09 12:23:47,XAUUSD.,Consensus[4],sell,3277.35,3267.35,0.1,win,1.0,unknown
2025-05-09 12:23:48,XAUUSD.,Consensus[4],sell,3324.7,3314.7,0.1,win,1.0,unknown
2025-05-09 12:23:48,XAUUSD.,Consensus[3],sell,3328.1,3318.1,0.1,win,1.0,unknown
2025-05-09 12:23:48,XAUUSD.,Consensus[3],sell,3321.6,3311.6,0.1,win,1.0,unknown
2025-05-09 12:23:48,XAUUSD.,Consensus[3],sell,3319.23,3309.23,0.1,win,1.0,unknown
2025-05-09 12:23:48,XAUUSD.,Consensus[3],sell,3321.01,3311.01,0.1,win,1.0,unknown
2025-05-09 12:23:48,XAUUSD.,Consensus[4],sell,3327.31,3317.31,0.1,win,1.0,unknown
2025-05-09 12:23:48,XAUUSD.,Consensus[3],sell,3330.15,3320.15,0.1,win,1.0,unknown
2025-05-09 12:23:48,XAUUSD.,Consensus[3],buy,3326.2,3336.2,0.1,win,1.0,unknown
2025-05-09 12:27:10,XAUUSD.,Consensus[3],buy,3306.48,3316.48,0.1,win,1.0,trending
2025-05-09 12:27:10,XAUUSD.,Consensus[3],buy,3307.04,3317.04,0.1,win,1.0,trending
2025-05-09 12:27:10,XAUUSD.,Consensus[3],buy,3310.03,3320.03,0.1,win,1.0,trending
2025-05-09 12:27:10,XAUUSD.,Consensus[3],buy,3313.6,3323.6,0.1,win,1.0,unknown
2025-05-09 12:27:11,XAUUSD.,Consensus[3],buy,3315.77,3325.77,0.1,win,1.0,unknown
2025-05-09 12:27:11,XAUUSD.,Consensus[3],buy,3318.61,3328.61,0.1,win,1.0,unknown
2025-05-09 12:27:11,XAUUSD.,Consensus[3],buy,3316.81,3326.81,0.1,win,1.0,unknown
2025-05-09 12:27:11,XAUUSD.,Consensus[3],sell,3322.28,3312.28,0.1,win,1.0,unknown
2025-05-09 12:27:11,XAUUSD.,Consensus[4],sell,3302.49,3292.49,0.1,win,1.0,unknown
2025-05-09 12:27:11,XAUUSD.,Consensus[4],sell,3292.78,3282.78,0.1,win,1.0,unknown
2025-05-09 12:27:11,XAUUSD.,Consensus[4],sell,3277.35,3267.35,0.1,win,1.0,trending
2025-05-09 12:27:11,XAUUSD.,Consensus[4],sell,3324.7,3314.7,0.1,win,1.0,trending
2025-05-09 12:27:11,XAUUSD.,Consensus[3],sell,3328.1,3318.1,0.1,win,1.0,trending
2025-05-09 12:27:11,XAUUSD.,Consensus[3],sell,3321.6,3311.6,0.1,win,1.0,trending
2025-05-09 12:27:12,XAUUSD.,Consensus[3],sell,3319.23,3309.23,0.1,win,1.0,trending
2025-05-09 12:27:12,XAUUSD.,Consensus[3],sell,3321.01,3311.01,0.1,win,1.0,trending
2025-05-09 12:27:12,XAUUSD.,Consensus[4],sell,3327.31,3317.31,0.1,win,1.0,trending
2025-05-09 12:27:12,XAUUSD.,Consensus[3],sell,3330.15,3320.15,0.1,win,1.0,unknown
2025-05-09 12:27:12,XAUUSD.,Consensus[4],buy,3328.04,3338.04,0.1,win,1.0,unknown
2025-05-09 12:29:59,XAUUSD.,Consensus[3],buy,3306.48,3316.48,0.1,win,1.0,trending
2025-05-09 12:29:59,XAUUSD.,Consensus[3],buy,3307.04,3317.04,0.1,win,1.0,trending
2025-05-09 12:29:59,XAUUSD.,Consensus[3],buy,3310.03,3320.03,0.1,win,1.0,trending
2025-05-09 12:29:59,XAUUSD.,Consensus[3],buy,3313.6,3323.6,0.1,win,1.0,unknown
2025-05-09 12:29:59,XAUUSD.,Consensus[3],buy,3315.77,3325.77,0.1,win,1.0,unknown
2025-05-09 12:29:59,XAUUSD.,Consensus[3],buy,3318.61,3328.61,0.1,win,1.0,unknown
2025-05-09 12:29:59,XAUUSD.,Consensus[3],buy,3316.81,3326.81,0.1,win,1.0,unknown
2025-05-09 12:29:59,XAUUSD.,Consensus[3],sell,3322.28,3312.28,0.1,win,1.0,unknown
2025-05-09 12:29:59,XAUUSD.,Consensus[4],sell,3302.49,3292.49,0.1,win,1.0,unknown
2025-05-09 12:29:59,XAUUSD.,Consensus[4],sell,3292.78,3282.78,0.1,win,1.0,unknown
2025-05-09 12:29:59,XAUUSD.,Consensus[4],sell,3277.35,3267.35,0.1,win,1.0,trending
2025-05-09 12:30:00,XAUUSD.,Consensus[4],sell,3324.7,3314.7,0.1,win,1.0,trending
2025-05-09 12:30:00,XAUUSD.,Consensus[3],sell,3328.1,3318.1,0.1,win,1.0,trending
2025-05-09 12:30:00,XAUUSD.,Consensus[3],sell,3321.6,3311.6,0.1,win,1.0,trending
2025-05-09 12:30:00,XAUUSD.,Consensus[3],sell,3319.23,3309.23,0.1,win,1.0,trending
